Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
Normal,25,t-interval,0.9479,0.8164579557646041,0.0012965374501749949,0.04031937166942391,0.0521,0.0022222868851703203
Normal,25,z-interval,0.9368,0.7753424601098342,0.0012965374501749949,0.04031937166942391,0.0521,0.0024332233765110844
Normal,25,bootstrap,0.9271,0.7517139022088183,0.0012965374501749949,0.04031937166942391,0.0729,0.0025997228698459375
Normal,50,t-interval,0.9483,0.56487528714415,-0.00038248276590224783,0.020117915642790793,0.0517,0.0022142066299241352
Normal,50,z-interval,0.9423,0.5509299667430434,-0.00038248276590224783,0.020117915642790793,0.0517,0.0023317527742022733
Normal,50,bootstrap,0.936,0.5402768928281291,-0.00038248276590224783,0.020117915642790793,0.064,0.002447529366524536
Normal,100,t-interval,0.9524,0.3958229564753035,0.0009786272060181567,0.009787629990783192,0.0476,0.0021291838812089476
Normal,100,z-interval,0.9493,0.3909848357688383,0.0009786272060181567,0.009787629990783192,0.0476,0.002193843886879829
Normal,100,bootstrap,0.9464,0.3854705368744112,0.0009786272060181567,0.009787629990783192,0.0536,0.002252266414081602
Normal,250,t-interval,0.9488,0.24875145669005969,0.00011936536356405014,0.004039360339324123,0.0512,0.0022040544457884886
Normal,250,z-interval,0.9476,0.2475424066564976,0.00011936536356405014,0.004039360339324123,0.0512,0.002228323136351638
Normal,250,bootstrap,0.9436,0.24473884784458577,0.00011936536356405014,0.004039360339324123,0.0564,0.0023069252263565026
Normal,500,t-interval,0.9489,0.17565380313699377,0.00020104279940325043,0.0019896928652037103,0.0511,0.0022020170299068996
Normal,500,z-interval,0.948,0.17522775883294855,0.00020104279940325043,0.0019896928652037103,0.0511,0.002220270253820468
Normal,500,bootstrap,0.9447,0.1735338058061041,0.00020104279940325043,0.0019896928652037103,0.0553,0.002285648923172586
Gamma,25,t-interval,0.9361,0.5697571833600914,0.00024513038207385485,0.020256943778640058,0.0639,0.002445747125113305
Gamma,25,z-interval,0.9227,0.5410651376383031,0.00024513038207385485,0.020256943778640058,0.0639,0.002670668642868299
Gamma,25,bootstrap,0.9152,0.5235550331139637,0.00024513038207385485,0.020256943778640058,0.0848,0.0027858384734223197
Gamma,50,t-interval,0.9417,0.3984421454674115,0.0007708392694063537,0.009928924627174556,0.0583,0.002343098589475057
