Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
Normal,25,t-interval,0.9511,0.8155593858772936,0.002975419270808466,0.03976776346051383,0.0489,0.002156589668898561
Normal,25,z-interval,0.94,0.7744891407415937,0.002975419270808466,0.03976776346051383,0.0489,0.0023748684174075842
Normal,25,bootstrap,0.9311,0.7506668062363986,0.002975419270808466,0.03976776346051383,0.0689,0.002532840105494225
Normal,50,t-interval,0.9525,0.5654602518645512,-0.0007067458640312996,0.019439259063690748,0.0475,0.002127057827140578
Normal,50,z-interval,0.9469,0.5515004901865204,-0.0007067458640312996,0.019439259063690748,0.0475,0.0022423289232402998
Normal,50,bootstrap,0.9392,0.5407730056837148,-0.0007067458640312996,0.019439259063690748,0.0608,0.002389630933847316
Normal,100,t-interval,0.9515,0.39640588662990967,-0.0004227175109634551,0.010004567276896944,0.0485,0.0021482027371735653
Normal,100,z-interval,0.9476,0.3915606408024648,-0.0004227175109634551,0.010004567276896944,0.0485,0.002228323136351638
Normal,100,bootstrap,0.9436,0.38559427457401935,-0.0004227175109634551,0.010004567276896944,0.0564,0.0023069252263565026
Normal,250,t-interval,0.9477,0.24904805310992534,-0.0005310688005080166,0.004062622420304622,0.0523,0.002226313320267388
Normal,250,z-interval,0.9467,0.2478375614771213,-0.0005310688005080166,0.004062622420304622,0.0523,0.0022463105306257196
Normal,250,bootstrap,0.9426,0.24489748421151272,-0.0005310688005080166,0.004062622420304622,0.0574,0.0023260533097932217
Normal,500,t-interval,0.9519,0.1756007947120699,0.0004375338580711041,0.0019607877183607974,0.0481,0.002139775455509293
Normal,500,z-interval,0.9517,0.17517487897875358,0.0004375338580711041,0.0019607877183607974,0.0481,0.0021439941697681923
Normal,500,bootstrap,0.9483,0.1734635554130107,0.0004375338580711041,0.0019607877183607974,0.0517,0.0022142066299241352
Gamma,25,t-interval,0.934,0.5700107403483782,-0.0012305676348256522,0.020385653800342293,0.066,0.0024828209762284502
Gamma,25,z-interval,0.9211,0.5413059259087686,-0.0012305676348256522,0.020385653800342293,0.066,0.002695826218434712
Gamma,25,bootstrap,0.9124,0.523674400533238,-0.0012305676348256522,0.020385653800342293,0.0876,0.002827122919152968
Gamma,50,t-interval,0.9399,0.3970718685226758,-1.8609478596220974e-05,0.010183182246421629,0.0601,0.0023767202191255082
Gamma,50,z-interval,0.9352,0.3872691836560572,-1.8609478596220974e-05,0.010183182246421629,0.0601,0.0024617262236081407
Gamma,50,bootstrap,0.9324,0.3790687894160229,-1.8609478596220974e-05,0.010183182246421629,0.0676,0.0025105824025512483
Gamma,100,t-interval,0.9418,0.27872469172855796,-0.00039454910880909466,0.005114115818436532,0.0582,0.0023412125063735677
Gamma,100,z-interval,0.9393,0.27531785622193866,-0.00039454910880909466,0.005114115818436532,0.0582,0.00238779207637516
Gamma,100,bootstrap,0.936,0.271120599736852,-0.00039454910880909466,0.005114115818436532,0.064,0.002447529366524536
Gamma,250,t-interval,0.9433,0.175810549732923,0.0004569800041740457,0.002002814892454295,0.0567,0.0023126848034265277
Gamma,250,z-interval,0.9431,0.17495602709460936,0.0004569800041740457,0.002002814892454295,0.0567,0.002316514407466527
Gamma,250,bootstrap,0.9385,0.17301260521221237,0.0004569800041740457,0.002002814892454295,0.0615,0.002402451872566857
Gamma,500,t-interval,0.95,0.1241789451141559,0.0002726120776388452,0.0010007350540823061,0.05,0.0021794494717703376
Gamma,500,z-interval,0.9494,0.12387775190738558,0.0002726120776388452,0.0010007350540823061,0.05,0.0021917946984149764
Gamma,500,bootstrap,0.9449,0.12263104200237152,0.0002726120776388452,0.0010007350540823061,0.0551,0.0022817534923825584
LognormalModerate,25,t-interval,0.9068,0.6714603166300923,0.00012527479839663513,0.03020898350857517,0.0932,0.0029071250403104433
LognormalModerate,25,z-interval,0.8962,0.6376466664159782,0.00012527479839663513,0.03020898350857517,0.0932,0.003050009180314053
LognormalModerate,25,bootstrap,0.8899,0.6130591179627347,0.00012527479839663513,0.03020898350857517,0.1101,0.003130143606929241
LognormalModerate,50,t-interval,0.925,0.4749884121696652,0.0018293015300310245,0.015475166131586168,0.075,0.002633913438213184
LognormalModerate,50,z-interval,0.9181,0.46326216790784386,0.0018293015300310245,0.015475166131586168,0.075,0.00274212308257671
LognormalModerate,50,bootstrap,0.9155,0.4523568521374871,0.0018293015300310245,0.015475166131586168,0.0845,0.0027813620763935073
LognormalModerate,100,t-interval,0.9292,0.33658488119990587,-9.700322266925632e-05,0.007582771278526998,0.0708,0.002564904676591315
LognormalModerate,100,z-interval,0.9266,0.33247082400191713,-9.700322266925632e-05,0.007582771278526998,0.0708,0.002607919477284527
LognormalModerate,100,bootstrap,0.9257,0.32680107440721107,-9.700322266925632e-05,0.007582771278526998,0.0743,0.0026225847936720754
LognormalModerate,250,t-interval,0.9407,0.2140993109966653,-0.00018744977014062414,0.0030160456826082587,0.0593,0.0023618532977304077
LognormalModerate,250,z-interval,0.9395,0.21305868682267837,-0.00018744977014062414,0.0030160456826082587,0.0593,0.0023841088481862567
LognormalModerate,250,bootstrap,0.9366,0.2104593492594836,-0.00018744977014062414,0.0030160456826082587,0.0634,0.002436810210090232
LognormalModerate,500,t-interval,0.9446,0.15191765897105827,-0.0001617631820457488,0.001511217406241493,0.0554,0.002287593495357075
LognormalModerate,500,z-interval,0.9442,0.15154918614477947,-0.0001617631820457488,0.001511217406241493,0.0554,0.002295350953558082
LognormalModerate,500,bootstrap,0.9409,0.14990072395732554,-0.0001617631820457488,0.001511217406241493,0.0591,0.002358117681541785
LognormalHigh,25,t-interval,0.7767,1.5968307114840459,0.0015789341184129224,0.3376201573332185,0.2233,0.004164578129895033
LognormalHigh,25,z-interval,0.7637,1.5164169121991327,0.0015789341184129224,0.3376201573332185,0.2233,0.0042480855688180295
LognormalHigh,25,bootstrap,0.7746,1.4036806668359019,0.0015789341184129224,0.3376201573332185,0.2254,0.004178454738297401
LognormalHigh,50,t-interval,0.8162,1.202255225655026,-0.003278512010505774,0.16103704011914452,0.1838,0.0038732100381982898
LognormalHigh,50,z-interval,0.8078,1.1725746311818153,-0.003278512010505774,0.16103704011914452,0.1838,0.0039402938976680416
LognormalHigh,50,bootstrap,0.8203,1.1125151768049868,-0.003278512010505774,0.16103704011914452,0.1797,0.003839373777063129
LognormalHigh,100,t-interval,0.8455,0.9169782502570913,0.0005432524833475227,0.08780001722204814,0.1545,0.0036142737859769284
LognormalHigh,100,z-interval,0.842,0.9057700790599165,0.0005432524833475227,0.08780001722204814,0.1545,0.0036474100400146954
LognormalHigh,100,bootstrap,0.8528,0.8718953187187896,0.0005432524833475227,0.08780001722204814,0.1472,0.003543051791887892
LognormalHigh,250,t-interval,0.8845,0.6199980404974345,-0.0008988548869794943,0.03347479667898144,0.1155,0.003196243889317585
LognormalHigh,250,z-interval,0.8832,0.6169845560272476,-0.0008988548869794943,0.03347479667898144,0.1155,0.003211818176671899
LognormalHigh,250,bootstrap,0.8878,0.6009949108308428,-0.0008988548869794943,0.03347479667898144,0.1122,0.0031561235717252893
LognormalHigh,500,t-interval,0.9025,0.457627907607072,0.0001757045443442351,0.016871273165942578,0.0975,0.0029663740492392398
LognormalHigh,500,z-interval,0.9021,0.4565179415264853,0.0001757045443442351,0.016871273165942578,0.0975,0.0029717939026789857
LognormalHigh,500,bootstrap,0.9053,0.44723367444903245,0.0001757045443442351,0.016871273165942578,0.0947,0.0029280011953549475
Mixture,25,t-interval,0.9447,1.5507876080890826,0.2802138994172281,11.084057133895488,0.0553,0.002285648923172586
Mixture,25,z-interval,0.9341,1.4726924646568087,0.2802138994172281,11.084057133895488,0.0553,0.002481072147278268
Mixture,25,bootstrap,0.9068,1.3081901397180133,0.2802138994172281,11.084057133895488,0.0932,0.0029071250403104433
Mixture,50,t-interval,0.953,1.0713620229903345,0.2218444875979313,0.6936855726316242,0.047,0.002116388433156826
Mixture,50,z-interval,0.9476,1.0449128455945365,0.2218444875979313,0.6936855726316242,0.047,0.002228323136351638
Mixture,50,bootstrap,0.9078,0.9463072074921852,0.2218444875979313,0.6936855726316242,0.0922,0.002893080710937736
Mixture,100,t-interval,0.9468,0.9383629721371002,0.24057301913291806,0.7956289775833538,0.0532,0.0022443208326796775
Mixture,100,z-interval,0.943,0.92689341674268,0.24057301913291806,0.7956289775833538,0.0532,0.002318426190328259
Mixture,100,bootstrap,0.8615,0.8442970498216699,0.24057301913291806,0.7956289775833538,0.1385,0.0034542401479920296
Mixture,250,t-interval,0.8559,0.7110328679119686,0.2364860860771114,0.20310528976086054,0.1441,0.003511911018234944
Mixture,250,z-interval,0.8513,0.7075769110132566,0.2364860860771114,0.20310528976086054,0.1441,0.0035579250975814546
Mixture,250,bootstrap,0.6537,0.6516700641527636,0.2364860860771114,0.20310528976086054,0.3463,0.004757901953592571
Mixture,500,t-interval,0.6456,0.5928097649448039,0.23881232657622653,0.16510693939694132,0.3544,0.004783310987171961
Mixture,500,z-interval,0.642,0.5913719183441234,0.23881232657622653,0.16510693939694132,0.3544,0.004794121400215059
Mixture,500,bootstrap,0.3692,0.5492288613113815,0.23881232657622653,0.16510693939694132,0.6308,0.004825881888318445
